100		759,98		715,819		675,766		604,903		552,526		503,23		446,745		347,126
120		746,629		680,901		630,578		585,39		513,5		460,096		394,368		294,749
140		739,44		707,603		616,2		555,607		497,068		422,097		354,315		282,425
160		765,115		696,306		619,281		550,472		452,907		392,314		324,532		278,317
180		749,71		665,496		632,632		538,148		429,286		396,422		322,478		285,506
200		751,764		653,172		605,93		509,392		430,313		379,99		327,613		298,857
220		747,656		678,847		610,038		521,716		426,205		383,071		349,18		312,208
240		764,088		668,577		589,498		512,473		443,664		384,098		355,342		330,694
260		777,439		707,603		585,39		514,527		440,583		398,476		378,963		354,315
300		788,736		700,414		618,254		528,905		477,555		440,583		408,746		407,719
340		807,222		714,792		627,497		565,877		510,419		473,447		468,312		504,257
380		832,897		749,71		661,388		613,119		550,472		516,581		506,311		667,55
420		848,302		744,575		700,414		649,064		596,687		572,039		561,769		871,923
